cage_id	id	weight	state	days
1	0	241.78	HA	0
1	1	239.75	HA	0
1	2	238.46	HA	0
1	3	236.47	HA	0
1	4	235.42	HA	0
2	0	238.64	HA	0
2	1	237.24	HA	0
2	2	232.7	HA	0
2	3	235.98	HA	0
2	4	241.32	HA	0
3	0	236.47	HA	0
3	1	244.81	HA	0
3	2	231.29	HA	0
3	3	228.67	HA	0
3	4	234.45	HA	0
4	0	242.53	HA	0
4	1	246.98	HA	0
4	2	231.42	HA	0
4	3	235.09	HA	0
4	4	234.71	HA	0
5	0	236.47	HA	0
5	1	232.56	HA	0
5	2	231.87	HA	0
5	3	231.46	HA	0
5	4	229.04	HA	0
6	0	242.45	CR	0
6	1	239.26	CR	0
6	2	242.63	CR	0
6	3	238.42	CR	0
6	4	230.98	CR	0
7	0	240.11	CR	0
7	1	242.26	CR	0
7	2	249.64	CR	0
7	3	232.71	CR	0
7	4	243.42	CR	0
8	0	230.43	CR	0
8	1	237.81	CR	0
8	2	232.67	CR	0
8	3	240.8	CR	0
8	4	228.07	CR	0
1	0	244.86	HA	7
1	1	260.05	HA	7
1	2	252.56	HA	7
1	3	248.42	HA	7
1	4	240.38	HA	7
2	0	251.87	HA	7
2	1	263.64	HA	7
2	2	254.65	HA	7
2	3	259.86	HA	7
2	4	262.04	HA	7
3	0	261.92	HA	7
3	1	248.98	HA	7
3	2	240.74	HA	7
3	3	241.65	HA	7
3	4	246.03	HA	7
4	0	259.04	HA	7
4	1	263.21	HA	7
4	2	254.08	HA	7
4	3	246.57	HA	7
4	4	245.15	HA	7
5	0	251.23	HA	7
5	1	251.29	HA	7
5	2	251.69	HA	7
5	3	240.15	HA	7
5	4	245.6	HA	7
6	0	298.56	CR	7
6	1	276.65	CR	7
6	2	291.72	CR	7
6	3	282.72	CR	7
6	4	268.97	CR	7
7	0	280.02	CR	7
7	1	294.93	CR	7
7	2	300.71	CR	7
7	3	284.52	CR	7
7	4	286.02	CR	7
8	0	274.11	CR	7
8	1	284.41	CR	7
8	2	276.47	CR	7
8	3	280.26	CR	7
8	4	278.64	CR	7
1	0	304.458810933295	CR	14
1	1	301.8452942795381	CR	14
1	2	309.86962449437203	CR	14
1	3	305.48885937383034	CR	14
1	4	297.04749704860114	CR	14
2	0	298.66988607127365	CR	14
2	1	304.42956975675287	CR	14
2	2	304.2870610613338	CR	14
2	3	305.40235398582706	CR	14
2	4	301.0941807097704	CR	14
3	0	301.43188736499326	CR	14
3	1	307.69544317734807	CR	14
3	2	301.5531748105259	CR	14
3	3	301.39003257217513	CR	14
3	4	295.4420619178835	CR	14
4	0	317.279634674233	CR	14
4	1	299.8741757036754	CR	14
4	2	300.6544802006173	CR	14
4	3	299.6819256756782	CR	14
4	4	301.0724860157888	CR	14
5	0	296.3187133781197	CR	14
5	1	312.57908871519646	CR	14
5	2	313.445455958007	CR	14
5	3	313.2556243257791	CR	14
5	4	301.2042914448276	CR	14
6	0	263.22196151300585	HA	14
6	1	266.8354049465585	HA	14
6	2	263.6139167572955	HA	14
6	3	272.9674201139568	HA	14
6	4	259.1701184998753	HA	14
7	0	268.48102611113956	HA	14
7	1	269.8673372977103	HA	14
7	2	265.1817549995611	HA	14
7	3	269.4975806689862	HA	14
7	4	271.4383464254521	HA	14
8	0	262.5630993603831	HA	14
8	1	262.41397575497405	HA	14
8	2	263.18489956352073	HA	14
8	3	244.73886199609478	HA	14
8	4	257.6720295619671	HA	14
1	0	321.2255396161404	CR	21
1	1	326.97690400771233	CR	21
1	2	326.74133683885645	CR	21
1	3	318.53271582219315	CR	21
1	4	321.76251028671464	CR	21
2	0	328.5101415069706	CR	21
2	1	316.31800640650243	CR	21
2	2	326.095411831108	CR	21
2	3	326.9628402499671	CR	21
2	4	331.52917911378887	CR	21
3	0	332.6760726588905	CR	21
3	1	324.3356218310208	CR	21
3	2	327.0515554712015	CR	21
3	3	330.0989664070321	CR	21
3	4	330.37167444408476	CR	21
4	0	332.7046571451259	CR	21
4	1	329.7288431748292	CR	21
4	2	330.27926330466806	CR	21
4	3	319.55871026298917	CR	21
4	4	326.5150172212007	CR	21
5	0	325.1523542052826	CR	21
5	1	331.999346098834	CR	21
5	2	330.17255808815366	CR	21
5	3	316.3197683201472	CR	21
5	4	332.7839960715154	CR	21
6	0	274.1441953507653	HA	21
6	1	280.57684546560745	HA	21
6	2	279.4174353107316	HA	21
6	3	283.7974752080382	HA	21
6	4	272.6658942438707	HA	21
7	0	286.2353276075245	HA	21
7	1	282.4648348781821	HA	21
7	2	288.5726216468924	HA	21
7	3	284.3384451868473	HA	21
7	4	275.9884860720623	HA	21
8	0	282.61000447718567	HA	21
8	1	294.3639711123189	HA	21
8	2	281.66048808215857	HA	21
8	3	281.4229176956638	HA	21
8	4	276.9407658689191	HA	21
1	0	361.32908655738083	CR	28
1	1	360.68796260160013	CR	28
1	2	349.753635801883	CR	28
1	3	355.59404931941225	CR	28
1	4	359.5108944219701	CR	28
2	0	358.73734939445364	CR	28
2	1	355.94289112989196	CR	28
2	2	363.24578428988536	CR	28
2	3	375.5096406126616	CR	28
2	4	351.3994031392485	CR	28
3	0	347.0698007634575	CR	28
3	1	355.00663511574356	CR	28
3	2	369.14130237481015	CR	28
3	3	354.736617173951	CR	28
3	4	347.18670267536754	CR	28
4	0	357.82242980106355	CR	28
4	1	363.48605648926326	CR	28
4	2	366.06512063486406	CR	28
4	3	359.810151863274	CR	28
4	4	358.4566249680318	CR	28
5	0	338.6994989935572	CR	28
5	1	358.63192958029447	CR	28
5	2	360.0608706668826	CR	28
5	3	360.3915143339679	CR	28
5	4	358.4819938593488	CR	28
6	0	312.1475317499099	HA	28
6	1	303.7937586388771	HA	28
6	2	309.3732392123105	HA	28
6	3	312.51115046060687	HA	28
6	4	303.3503824481129	HA	28
7	0	299.312920212121	HA	28
7	1	317.3083315592355	HA	28
7	2	304.6725011560642	HA	28
7	3	304.0781983299433	HA	28
7	4	298.69073481888535	HA	28
8	0	314.8630188969275	HA	28
8	1	292.09782384461175	HA	28
8	2	308.7994572868063	HA	28
8	3	300.15666333554276	HA	28
8	4	300.52380238705854	HA	28
