Genus,p-value,FDR,CR,HA
g__Blautia,6e-4,0.0162,0.2592,0.0351
g__Oscillospira,6e-4,0.0162,0.0166,0.0636
g__Lactobacillus,0.003,0.0512,0.0232,0.0967
g__Allobaculum,0.007,0.0909,0.0052,0.0011
g__Roseburia,0.0148,0.1535,0.0148,0.0646
g__Desulfovibrio,0.0207,0.1791,0.0021,0.0064
g__Vagococcus,0.0298,0.2217,0,0
g__[Prevotella],0.0499,0.3242,0.0427,0.0158
g__Dehalobacterium,0.0764,0.4315,0,1e-4
g__Oxalobacter,0.083,0.4315,2e-4,3e-4
g__CF231,0.1304,0.4843,0.0129,0.0306
g__Coprococcus,0.1304,0.4843,0.0029,0.0079
g__rc4-4,0.1304,0.4843,0.0017,0.0051
g__[Ruminococcus],0.1304,0.4843,0.0052,0.0079
g__Prevotella,0.1605,0.5217,0.1991,0.1091
g__Sutterella,0.1605,0.5217,0.0177,0.011
g__,0.1903,0.5333,0.0103,0.0178
g__Dorea,0.1949,0.5333,0.0035,0.0031
g__Holdemania,0.1949,0.5333,8e-4,2e-4
g__Psychrobacter,0.262,0.6811,0,0
g__Adlercreutzia,0.4005,0.7713,1e-4,1e-4
g__Akkermansia,0.3816,0.7713,0,0
g__Collinsella,0.3282,0.7713,0.0014,8e-4
g__Lachnospira,0.4002,0.7713,0,0.0013
g__Phascolarctobacterium,0.3823,0.7713,0.0132,0.0054
g__Ruminococcus,0.3282,0.7713,0.0222,0.0377
g__YRC22,0.3823,0.7713,0.0016,4e-4
g__Lactococcus,0.5069,0.8502,0,0
g__Mycoplasma,0.4936,0.8502,4e-4,6e-4
g__Rothia,0.5054,0.8502,1e-4,1e-4
Unknown,0.5054,0.8502,0.0248,0.0131
g__Bacteroides,0.7209,0.852,0.0092,0.0088
g__Bifidobacterium,0.6854,0.852,0,0
g__Candidatus Arthromitus,0.7209,0.852,9e-4,7e-4
g__Cetobacterium,0.5897,0.852,0,3e-4
g__Clostridium,0.5992,0.852,0.0051,0.0066
g__Erwinia,0.5871,0.852,0,0
g__[Eubacterium],0.5256,0.852,3e-4,2e-4
g__Moraxella,0.7173,0.852,0,1e-4
g__Nitrosopumilus,0.7001,0.852,0,1e-4
g__Sphingomonas,0.6293,0.852,0,0
g__Stenotrophomonas,0.7059,0.852,1e-4,0
g__Streptococcus,0.6454,0.852,0.001,6e-4
g__Turicibacter,0.6355,0.852,2e-4,1e-4
g__5-7N15,0.7984,0.9026,0.0035,0.0038
g__Megamonas,0.7984,0.9026,0.0573,0.0301
g__Anaerostipes,0.8481,0.9188,0,0
g__Haemophilus,0.836,0.9188,0,1e-4
g__Coprobacillus,0.8747,0.9283,4e-4,8e-4
g__Butyricimonas,0.958,0.9591,5e-4,2e-4
g__p-75-a5,0.9581,0.9591,3e-4,2e-4
g__Parabacteroides,0.9591,0.9591,0.0024,0.0011
