"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20"
"pos_C_6_0",-19.734,13.43,10.774,-14.499,9.9619,-2.4367,13.561,-7.7976,0.044346,-16.396,12.327,-3.5789,7.4482,15.394,-10.592,2.5293,-3.6657,-4.3783,-2.8466,-4.8087e-15
"pos_C_6_2",-23.031,28.591,12.587,-12.326,-1.8415,3.6496,17.479,14.067,-7.0006,8.1249,8.5569,10.779,-1.6138,-6.7176,11.781,-9.2665,5.1658,1.8214,-1.2267,-5.0654e-15
"pos_C_6_3",-10.255,27.014,12.457,-5.0654,0.093606,-7.1893,-10.973,15.098,-3.1003,4.5517,-9.0599,5.1013,-4.4711,-2.3041,-9.0357,21.03,-5.5738,3.0046,-0.63364,1.8596e-15
"pos_C_7_0",8.6941,6.0106,9.7894,-7.2319,11.261,2.2227,-19.093,-18.301,-14.148,14.24,12.56,-4.4732,-4.5205,-6.329,-7.7759,-7.5929,-2.7325,3.4572,0.38399,-4.7462e-15
"pos_C_7_2",14.629,0.88876,16.012,-15.774,5.9978,0.84788,2.429,-6.6455,20.437,3.1997,-5.5177,-12.917,-15.721,1.2823,6.1502,3.5072,11.904,-3.769,1.5633,-1.8267e-15
"pos_C_7_3",11.418,20.48,20.592,23.2,-2.8831,-6.083,-18.894,7.1664,15.532,-9.7255,1.3652,4.8768,6.59,4.0023,0.013415,-12.722,2.5943,2.7437,0.76552,-2.7617e-15
"pos_C_7_4",44.415,9.7876,4.8695,13.092,-4.2515,8.8324,4.2172,-1.7742,-10.253,-4.9405,4.4746,-5.5257,-2.7523,5.773,16.842,7.2319,-13.199,-0.57223,6.9984,-3.5145e-15
"pos_C_8_0",11.305,-28.325,5.2824,-14.423,-6.1853,-6.4358,4.9186,3.454,-3.2707,-6.0206,-4.6223,-7.597,8.0953,-1.4498,0.080773,-0.95681,2.1114,23.285,1.9896,-3.3584e-15
"pos_C_8_2",6.7537,-26.862,6.1591,-6.3686,-12.416,-5.3946,-5.0669,3.1569,-1.1523,-1.8327,-1.6842,-0.85416,-2.3596,-2.1044,5.399,-2.9283,-8.5409,-6.9211,-22.28,-4.4686e-15
"pos_C_8_4",7.2936,-20.602,3.8931,-5.0438,-6.6138,-17.677,-2.814,6.991,-7.4286,0.39936,3.4325,-5.1906,13.082,-8.8467,0.089007,2.215,6.6959,-15.888,10.769,-4.0801e-15
"pos_H_1_4",-40.484,-6.9901,-5.6736,14.371,-14.195,14.321,-4.6102,10.283,-8.7305,10.259,-2.6015,-15.965,-1.4001,14.554,-2.3279,-2.4551,5.8261,-0.89808,0.20101,-4.8503e-15
"pos_H_2_0",7.8303,-1.2657,-34.242,-3.9712,31.633,7.1783,-8.3975,17.968,4.5921,-5.7651,7.3717,-5.1125,1.107,-3.6587,2.912,0.33533,0.72261,0.48598,-2.8152,-2.0817e-15
"pos_H_3_1",7.3774,12.484,-13.215,-6.314,-11.438,6.3045,10.737,0.43945,17.891,12.543,-5.6581,-5.0844,6.7653,-5.8507,-9.1814,-7.528,-15.902,-2.0809,4.2642,-3.7297e-15
"pos_H_3_2",1.2291,18.097,-30.392,-12.002,-23.025,-1.5705,-10.711,-14.782,4.7255,1.4294,5.2568,9.8554,6.0282,5.3536,6.859,7.0713,8.0363,2.0853,-1.7006,-4.6352e-15
"pos_H_4_0",-9.3856,-18.646,10.35,-3.148,21.026,15.627,-2.7158,-9.11,-0.99351,6.7423,-18.028,13.231,13.568,5.2781,6.2109,0.76954,-0.12686,-3.0671,1.031,-2.2343e-15
"pos_H_4_3",24.127,-17.611,-12.209,-7.9839,-2.6001,-5.9258,1.8357,6.1779,-7.0092,-3.6228,-5.7008,15.644,-16.971,11.147,-8.8682,-9.6804,-0.34466,-2.5513,6.8538,-4.0939e-15
"pos_H_5_1",-21.636,-30.263,-1.9694,24.497,8.2564,-16.267,9.746,-4.4379,11.17,13.305,13.221,7.2277,-3.9366,1.9891,1.8321,7.0849,-2.9811,4.1954,0.74888,-4.2466e-15
"pos_H_5_2",-41.744,18.341,-14.124,9.3817,6.1601,-17.252,1.8322,-13.026,-6.8537,-11.763,-15.336,-6.0685,-6.0892,-7.4422,6.1843,-5.679,-3.7423,0.058847,1.5705,-1.0131e-14
"pos_H_5_3",-21.521,-20.031,4.6271,6.8161,-11.851,25.245,-0.63254,-4.1165,3.3129,-16.975,5.5274,6.1565,-6.3155,-15.248,-5.9364,4.566,1.2885,-0.72768,3.4188,1.7979e-14
"pos_H_5_4",42.718,15.471,-5.5679,22.795,2.9115,2.0031,17.152,-4.8104,-7.7652,2.2472,-5.8847,-0.5044,3.4676,-4.8222,-10.637,2.4686,12.465,-0.28381,-9.0548,4.5741e-14
